Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
154,0.5571,1.5598,0.9142,0.0697,0.1072,-0.0493,0.9906
155,0.5348,1.5533,0.9268,0.0892,0.1075,-0.0424,0.9893
156,0.516,1.5471,0.937,0.1055,0.1052,-0.0378,0.9881
157,0.5003,1.542,0.945,0.1173,0.1027,-0.0339,0.9872
158,0.4865,1.536,0.9521,0.1293,0.1008,-0.0301,0.986
159,0.4768,1.5312,0.9572,0.1377,0.098,-0.027,0.9852
160,0.4666,1.5263,0.9622,0.1448,0.0915,-0.0267,0.9849
161,0.4592,1.5216,0.966,0.1531,0.0867,-0.0263,0.9841
162,0.4521,1.5163,0.9704,0.1627,0.0825,-0.0251,0.9829
163,0.4457,1.5117,0.9745,0.1707,0.0772,-0.0253,0.982
164,0.44,1.5064,0.9792,0.1787,0.072,-0.0261,0.9809
165,0.4357,1.4989,0.9853,0.1897,0.0693,-0.0254,0.9791
166,0.4325,1.4895,0.9926,0.2005,0.067,-0.0256,0.9771
167,0.4302,1.4798,1.0,0.2093,0.0651,-0.0257,0.9754
168,0.4287,1.4709,1.0055,0.2197,0.064,-0.0264,0.9731
169,0.4273,1.4635,1.0092,0.2316,0.0619,-0.0276,0.9705
170,0.425,1.4598,1.0105,0.2367,0.0579,-0.0292,0.9694
171,0.4218,1.4577,1.0106,0.2397,0.0528,-0.0314,0.9689
172,0.4172,1.4551,1.0111,0.2431,0.0457,-0.0352,0.9683
173,0.411,1.4496,1.0132,0.2497,0.0375,-0.0377,0.9669
174,0.4031,1.4434,1.0162,0.2587,0.0284,-0.0378,0.9648
175,0.3935,1.4391,1.0188,0.2636,0.0187,-0.0354,0.9638
176,0.3833,1.4364,1.02,0.2689,0.0096,-0.0322,0.9626
177,0.3737,1.4351,1.0208,0.2717,0.0003,-0.03,0.9619
178,0.3632,1.4319,1.0218,0.2765,-0.0111,-0.0293,0.9605
179,0.3525,1.4272,1.0229,0.2832,-0.0218,-0.0273,0.9584
180,0.3418,1.4222,1.0231,0.2903,-0.0311,-0.0239,0.9561
181,0.3298,1.4168,1.023,0.2961,-0.0412,-0.0202,0.9541
182,0.3168,1.412,1.0224,0.3001,-0.0528,-0.0153,0.9523
183,0.3029,1.4092,1.0213,0.3015,-0.0669,-0.0125,0.951
184,0.2884,1.4088,1.0193,0.3008,-0.0843,-0.0114,0.9499
185,0.2732,1.4104,1.0171,0.2974,-0.1048,-0.011,0.9489
